Nombre,Deporte,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Tiger Woods,Golf,1,1,3,1,6,9,-,-,-,-,8
Floyd Mayweather,Boxing,2,-,1,-,1,1,-,-,1,-,-
Kobe Bryant,Basketball,3,2,6,3,5,10,10,-,-,-,-
Phil Mickelson,Golf,4,5,7,7,8,8,8,-,-,-,-
David Beckham,Soccer,5,6,8,8,-,-,-,-,-,-,-
Roger Federer,Tennis,6,4,5,2,7,5,4,4,7,5,1
LeBron James,Basketball,7,3,4,4,3,6,3,2,6,8,5
Manny Pacquiao,Boxing,8,-,2,-,-,2,-,-,-,-,-
Eli Manning,American football,9,-,-,-,-,-,-,-,-,-,-
Terrell Suggs,American football,10,-,-,-,-,-,-,-,-,-,-
Cristiano Ronaldo,Soccer,-,7,9,9,2,3,1,1,3,2,2
Alex Rodriguez,Baseball,-,8,-,-,-,-,-,-,-,-,-
Michael Schumacher,F1 racing,-,9,-,-,-,-,-,-,-,-,-
Lionel Messi,Soccer,-,10,-,10,4,4,2,3,2,1,3
Peyton Manning,American football,-,-,10,-,-,-,-,-,-,-,-
Drew Brees,American football,-,-,-,5,-,-,-,-,-,-,-
Aaron Rodgers,American football,-,-,-,6,-,-,-,-,-,-,-
Rafael Nadal,Tennis,-,-,-,-,9,-,-,-,-,-,-
Matt Ryan,American football,-,-,-,-,10,-,-,-,9,-,-
Kevin Durant,Basketball,-,-,-,-,-,7,5,5,-,10,7
Novak Djokovic,Tennis,-,-,-,-,-,-,6,-,-,-,-
Cam Newton,American football,-,-,-,-,-,-,7,-,-,-,-
Jordan Spieth,Golf,-,-,-,-,-,-,9,-,-,-,-
Andrew Luck,American football,-,-,-,-,-,-,-,6,-,-,-
Rory McIlroy,Golf,-,-,-,-,-,-,-,6,-,-,-
Stephen Curry,Basketball,-,-,-,-,-,-,-,8,8,9,6
James Harden,Basketball,-,-,-,-,-,-,-,9,-,-,-
Lewis Hamilton,Auto racing,-,-,-,-,-,-,-,10,-,-,-
Conor McGregor,Mma,-,-,-,-,-,-,-,-,4,-,-
Neymar,Soccer,-,-,-,-,-,-,-,-,5,3,4
Matthew Stafford,American football,-,-,-,-,-,-,-,-,10,-,-
Canelo Alvarez,Boxing,-,-,-,-,-,-,-,-,-,4,-
Russell Wilson,American football,-,-,-,-,-,-,-,-,-,6,-
Aaron Rogers,American football,-,-,-,-,-,-,-,-,-,7,-
Kirk Cousins,American football,-,-,-,-,-,-,-,-,-,-,9
Carson Wentz,American football,-,-,-,-,-,-,-,-,-,-,10
